Number,Continent,Country,State/Province/Territory/etc.,Location,Region,Hint,Climate,Pics Uploaded?,Pictures,TB URL,Notes
666,Africa,Namibia,,,,It is a Country,,TRUE,,,
105,Asia,Vietnam,,,,It is a Country,,TRUE,,,
106,Australia,Australia,New South Wales,Blue Mountains,,It is a geographic feature,,TRUE,,,
1,Australia,Australia,South Australia,Kangaroo Island,,It is an Island,,TRUE,,,
2,Australia,Australia,,Syndey ,South East Asia,It is a City,,TRUE,,,
3,Europe,France,,Paris,Western Europe,It is a City,Temperate,TRUE,https://drive.google.com/drive/folders/1xV1ENOjxujoN9-pOZjdLia40NHQK5ukx?usp=sharing,,Not sure we can legaly use these images for commercial purposes. They are from Creative Commons
4,Europe,Lithuania,,,,It is a Country,,TRUE,,,
5,Europe,Switzerland,,,Western Europe,It is a country,Temperate,TRUE,,,
6,North America,Canada,Yukon,,,It is a State/Territory/Province/etc.,,TRUE,,,
7,South America,Belize,,,Central America,It is a Country,,TRUE,,,
8,South America,Bermuda,,Bermuda,,It is a State/Territory/Province/etc.,,TRUE,,,
9,South America,Costa Rica,,,Central America,It is a country,Tropical,TRUE,https://drive.google.com/drive/folders/1T168BzurgMZrjDeb6d18uUnRb4ITGuQP?usp=sharing,,
10,Africa,Botswana,,Botswana,Sub-Saharan Africa,It is a Country,,FALSE,No public photo library,,
11,Africa,Egypt,,Cairo,North Africa,It is a City,hot semi-arid climate,FALSE,No public photo library,,
12,Africa,Mauritius,,,,It is a Country,,TRUE,,,
13,Africa,Morocco,,Marrakech,North Africa,It is a City,hot semi-arid climate,FALSE,No public photo library,https://www.visitmorocco.com/en,https://www.visitmorocco.com/en
14,Africa,Rwanda,,,,It is a Country,,FALSE,No public photo library,,
15,Africa,Sierra Leone,,,,It is a Country,,TRUE,,,
16,Africa,South Africa,,,,It is a Country,,FALSE,,,
17,Africa,South Aftica,,Cape Town,Sub-Saharan Africa,It is a City,Mediterranean climate,FALSE,,,
18,Africa,Sychelles,,,,It is a Country,,FALSE,,,
19,Asia,China,Hong Kong,,,It is a State/Territory/Province/etc.,,FALSE,,,
20,Asia,China,,,,It is a Country,,FALSE,,,
21,Asia,Japan,,,,It is a Country,,FALSE,,,
22,Asia,Jordan,,,,It is a Country,,FALSE,,,
23,Asia,Nepal and China,,Mount Everest,South East Asia,It is a geographic feature,,FALSE,,,
24,Asia,Saudi Arabia,,,,It is a Country,,FALSE,,,
25,Australia,Australia,,Queensland,,It is a State/Territory/Province/etc.,,FALSE,,,
26,Australia,Australia,,Western Australia,,It is a State/Territory/Province/etc.,,FALSE,,,
27,Europe,Finland,,,,It is a Country,,FALSE,,,
28,Europe,France,,,,It is a Country,,FALSE,,,
29,Europe,Georgia,,,,It is a Country,,FALSE,,,
30,Europe,Germany,,,,It is a Country,,FALSE,,,
31,Europe,Greeland,,,,It is a Country,,FALSE,,,
104,Europe,Iceland,Iceland,,,Its a Country that is also an Island,,FALSE,,,
105,Europe,Ireland,,,,It is a Country,,FALSE,,,
106,Europe,Italy,,Rome,Western Europe,It is a Country,Mediterranean climate,FALSE,,,
107,Europe,Italy,,,,It is a Country,,FALSE,,,
108,Europe,Netherlands,,Aruba,,It is a State/Territory/Province/etc.,,FALSE,,,
109,Europe,Norway,,,,It is a Country,,FALSE,,,
110,Europe,Poland,,,,It is a Country,,FALSE,,,
111,Europe,Portugal,,,,It is a Country,,FALSE,,,
112,Europe,Slovenia,,,,It is a Country,,FALSE,,,
113,Europe,Spain,,,,It is a Country,,FALSE,,,
114,Europe,Sweden,,,,It is a Country,,FALSE,,,
115,Europe,United Kingdom,,,,It is a Country,,FALSE,,,
116,North America,Canada,Quebec,Charlevoix,,It is a State/Territory/Province/etc.,,FALSE,,,
117,North America,Canada,Quebec,Saguenay,,It is a State/Territory/Province/etc.,,FALSE,,,
118,North America,Canada,Quebec,,,It is a State/Territory/Province/etc.,,FALSE,,,
119,North America,Canada,Saskatchawan,,,It is a State/Territory/Province/etc.,,FALSE,,,
120,North America,Canada,,Alberta,,It is a State/Territory/Province/etc.,,FALSE,,,
121,North America,Canada,,New Brunswick,,It is a State/Territory/Province/etc.,,FALSE,,,
122,North America,Canada,,Niagara Falls,,It is a State/Territory/Province/etc.,,FALSE,,,
123,North America,Canada,,Nova Scotia,,It is a State/Territory/Province/etc.,,FALSE,,,
124,North America,Saint Lucia,,,,It is a Country,,FALSE,,,
125,North America,Turks and Caicos,,Providenciales,Carribean,It is an Island,Tropical,FALSE,,,
126,North America,USA,Alabama,,,It is a State/Territory/Province/etc.,,FALSE,,,
127,North America,USA,Alaska,,,It is a State/Territory/Province/etc.,,FALSE,,,
128,North America,USA,Arizona,Grand Canyon,North America,It is a famous geological formation,Desert,FALSE,,,
129,North America,USA,Arizona,,,It is a State/Territory/Province/etc.,,FALSE,,,
130,North America,USA,Arkansas,,,It is a State/Territory/Province/etc.,,FALSE,,,
131,North America,USA,Califorina,,,It is a State/Territory/Province/etc.,,FALSE,,,
132,North America,USA,Colorado,,,It is a State/Territory/Province/etc.,,FALSE,,,
133,North America,USA,Delaware,,,It is a State/Territory/Province/etc.,,FALSE,,,
134,North America,USA,Florida,,,It is a State/Territory/Province/etc.,,FALSE,,,
135,North America,USA,Georgia,,,It is a State/Territory/Province/etc.,,FALSE,,,
136,North America,USA,Idaho,,,It is a State/Territory/Province/etc.,,FALSE,,,
137,North America,USA,Illinois,Chicago,North America,It is a City,,FALSE,,,
138,North America,USA,Indiana,,,It is a State/Territory/Province/etc.,,FALSE,,,
139,North America,USA,Kansas,,,It is a State/Territory/Province/etc.,,FALSE,,,
140,North America,USA,Kentucky,,,It is a State/Territory/Province/etc.,,FALSE,,,
141,North America,USA,Louisiana,,,It is a State/Territory/Province/etc.,,FALSE,,,
142,North America,USA,Maryland,,,It is a State/Territory/Province/etc.,,FALSE,,,
143,North America,USA,Massachusetts,,,It is a State/Territory/Province/etc.,,FALSE,,,
144,North America,USA,Minnesota,,,It is a State/Territory/Province/etc.,,FALSE,,,
145,North America,USA,Missouri,,,It is a State/Territory/Province/etc.,,FALSE,,,
146,North America,USA,Montana,,,It is a State/Territory/Province/etc.,,FALSE,,,
147,North America,USA,New Hampshire,,,It is a State/Territory/Province/etc.,,FALSE,,,
148,North America,USA,New Jersey,,,It is a State/Territory/Province/etc.,,FALSE,,,
149,North America,USA,New Mexico,,,It is a State/Territory/Province/etc.,,FALSE,,,
150,North America,USA,New York,,North America,It is a City,,FALSE,,,
151,North America,USA,Niagara Falls,,,It is a State/Territory/Province/etc.,,FALSE,,,
152,North America,USA,North Carolina,,,It is a State/Territory/Province/etc.,,FALSE,,,
153,North America,USA,North Dakota,,,It is a State/Territory/Province/etc.,,FALSE,,,
154,North America,USA,Ohio,,,It is a State/Territory/Province/etc.,,FALSE,,,
155,North America,USA,Pennsylvania,,,It is a State/Territory/Province/etc.,,FALSE,,,
156,North America,USA,South Dakota,,,It is a State/Territory/Province/etc.,,FALSE,,,
157,North America,USA,Tennessee,,,It is a State/Territory/Province/etc.,,FALSE,,,
158,North America,USA,Texas,,,It is a State/Territory/Province/etc.,,FALSE,,,
159,Oceania,Fiji,,,,It is a Country,,FALSE,,,
160,Oceania,New Zealand,,,,It is a Country,,FALSE,,,
161,South America,Belize,,The Blue Hole,Central America,It is a famous geological formation,,FALSE,,,
162,South America,Brazil,,Amazon River,South America,It is a geographic feature,Rain Forest,FALSE,,,
163,South America,Chile,,,,It is a Country,,FALSE,,,
164,South America,Colombia,,,,It is a Country,,FALSE,,,
165,South America,Ecuador,,Gullapolos,South America,It is Islands,,FALSE,,,
166,South America,Ecuador,,,,It is a Country,,FALSE,,,
167,South America,El Salvador,,,,It is a Country,,FALSE,,,
168,South America,Mexico,,Cancun,Central America,It is a City,,FALSE,,,
169,South America,Mexico,,,,It is a Country,,FALSE,,,
170,South America,Panama,,,,It is a Country,,FALSE,,,
171,South America,Paraguay,,,,It is a Country,,FALSE,,,
172,South America,Peru,,,,It is a Country,,FALSE,,,
